,station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
5596,2500144,2500144,富水,,,25001,14,250-0853,小田原市堀之内,139.145166,35.296759,0000-00-00,0000-00-00,0,2500144,496,1344,5.419354838709677,421,2.844758064516129,"{0: 0, 1: 75, 2: 0, 3: 348, 4: 73}","{0: 0.0, 1: 0.15120967741935484, 2: 0.0, 3: 0.7016129032258065, 4: 0.14717741935483872}",93861.95099999997,69.83776116071427,47059.30000000003,69.71748148148153,675,215.064280077294,182.5444796623806,40698.292174325084,20404.787248873807,1.042471691581661,0.0,274,118.80567084915032
5597,2500145,2500145,螢田,,,25001,14,250-0865,小田原市蓮正寺,139.152036,35.285055,0000-00-00,0000-00-00,0,2500145,486,1285,5.288065843621399,392,2.730452674897119,"{0: 0, 1: 94, 2: 0, 3: 335, 4: 57}","{0: 0.0, 1: 0.1934156378600823, 2: 0.0, 3: 0.6893004115226338, 4: 0.11728395061728394}",85852.89999999994,66.81159533073925,43299.434,66.82011419753087,648,237.5988372876645,191.64350661885697,41972.32349336238,21168.508587683064,1.04858576194449,0.0,252,123.19939711212233
5598,2500146,2500146,足柄,,,25001,14,250-0001,小田原市扇町３丁目,139.15447,35.271763,0000-00-00,0000-00-00,0,2500146,414,1032,4.9855072463768115,313,2.5869565217391304,"{0: 0, 1: 101, 2: 0, 3: 282, 4: 31}","{0: 0.0, 1: 0.24396135265700483, 2: 0.0, 3: 0.6811594202898551, 4: 0.0748792270531401}",72914.25700000006,70.6533498062016,36636.33199999999,70.59023506743736,519,202.18502728454294,152.8596945412124,35609.10879463088,17892.07194450621,1.0521406549377967,0.0,211,103.0459921667598
5599,2500147,1130116,小田原,,,25001,14,250-0011,小田原市栄町１丁目,139.155396,35.256229,0000-00-00,0000-00-00,0,2500147,389,964,4.956298200514139,336,2.848329048843188,"{0: 0, 1: 53, 2: 1, 3: 289, 4: 44, 5: 2}","{0: 0.0, 1: 0.13624678663239073, 2: 0.002570694087403599, 3: 0.7429305912596401, 4: 0.11311053984575835, 5: 0.005141388174807198}",74386.27999999994,77.16419087136923,40687.99499999995,77.79731357552572,523,160.74284251126696,138.84214674495038,30737.948820151665,16813.12075163036,1.0754251353701114,0.004149377593360996,254,104.95805140838512
5739,2700101,2700101,泉岳寺,,,27001,13,108-0074,港区高輪２-１６-３４,139.74002,35.638692,0000-00-00,0000-00-00,0,2700101,366,770,4.2076502732240435,308,2.8688524590163933,"{0: 0, 1: 58, 2: 4, 3: 236, 4: 65, 5: 2, 6: 1}","{0: 0.0, 1: 0.15846994535519127, 2: 0.01092896174863388, 3: 0.644808743169399, 4: 0.17759562841530055, 5: 0.00546448087431694, 6: 0.00273224043715847}",54691.343,71.02771818181819,36451.982999999964,73.64036969696963,495,149.5594643940448,125.85878424416885,22348.65564500271,14895.461895029564,1.0498616597447177,0.003896103896103896,185,75.59699702977674
5740,2700102,1130103,品川,,,27001,13,108-0074,東京都港区高輪三丁目26-26,139.73809,35.628284,0000-00-00,0000-00-00,0,2700102,405,894,4.4148148148148145,340,2.8814814814814813,"{0: 0, 1: 65, 2: 5, 3: 251, 4: 81, 5: 3}","{0: 0.0, 1: 0.16049382716049382, 2: 0.012345679012345678, 3: 0.6197530864197531, 4: 0.2, 5: 0.007407407407407408}",61390.136999999995,68.66905704697986,40223.723999999995,72.606,554,164.8753037023496,138.4138352069108,24991.895017787283,16375.058544541946,1.0432958276518005,0.0022371364653243847,212,86.30509724666202
5741,2700103,2700103,北品川,,,27001,13,140-0001,品川区北品川１-１-４,139.739191,35.622458,0000-00-00,0000-00-00,0,2700103,493,1143,4.636916835699797,423,2.9066937119675456,"{0: 0, 1: 70, 2: 5, 3: 323, 4: 91, 5: 4}","{0: 0.0, 1: 0.14198782961460446, 2: 0.010141987829614604, 3: 0.6551724137931034, 4: 0.1845841784989858, 5: 0.008113590263691683}",75839.57399999995,66.35133333333329,47926.211,69.05794092219021,694,213.09456458043798,182.83772985299242,32780.93509025536,20715.649219138333,1.0391482152723168,0.0,260,112.38252898765492
5742,2700104,2700104,新馬場,,,27001,13,140-0001,品川区北品川２-１８-１,139.741366,35.61762,0000-00-00,0000-00-00,0,2700104,550,1359,4.941818181818181,478,2.9072727272727272,"{0: 0, 1: 72, 2: 6, 3: 377, 4: 91, 5: 4}","{0: 0.0, 1: 0.13090909090909092, 2: 0.01090909090909091, 3: 0.6854545454545454, 4: 0.16545454545454547, 5: 0.007272727272727273}",84274.7250000001,62.012306843267176,49072.983999999975,63.648487678339784,771,242.5441893274698,210.7929499973283,37164.26337440086,21640.667494836165,1.0331408863733462,0.0,298,131.41485167197453
5743,2700105,2700105,青物横丁,,,27001,13,140-0004,品川区南品川３-１-２０,139.742958,35.609351,0000-00-00,0000-00-00,0,2700105,542,1309,4.830258302583026,474,2.885608856088561,"{0: 0, 1: 68, 2: 2, 3: 397, 4: 74, 5: 1}","{0: 0.0, 1: 0.12546125461254612, 2: 0.0036900369003690036, 3: 0.7324723247232472, 4: 0.13653136531365315, 5: 0.0018450184501845018}",82013.23999999999,62.653353705118406,47463.35099999999,62.616558047493385,758,274.0344433140676,239.653738248834,41465.77964535612,23997.404002039093,1.0360324757514952,0.0015278838808250573,294,148.64598954674514
5744,2700106,2700106,鮫洲,,,27001,13,140-0011,品川区東大井１-２-２０,139.742227,35.604977,0000-00-00,0000-00-00,0,2700106,521,1182,4.537428023032629,452,2.8790786948176583,"{0: 0, 1: 69, 2: 3, 3: 374, 4: 73, 5: 1, 6: 1}","{0: 0.0, 1: 0.1324376199616123, 2: 0.005758157389635317, 3: 0.7178502879078695, 4: 0.1401151631477927, 5: 0.0019193857965451055, 6: 0.0019193857965451055}",73662.63799999995,62.32033671742804,44911.511999999966,62.63809205020916,717,253.92752475974427,220.29796773782036,35902.05630443966,21889.19208325824,1.0500341148540673,0.001692047377326565,267,130.13176412831424
