station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
1131219,1131104,吉祥寺,,,11312,13,180-0003,東京都武蔵野市吉祥寺南町,139.57976499999998,35.703119,0000-00-00,0000-00-00,0,1131219,kichijouji,621,1593,5.130434782608695,541,2.971014492753623,"{0: 0, 1: 80, 2: 0, 3: 399, 4: 142}","{0: 0.0, 1: 0.1288244766505636, 2: 0.0, 3: 0.642512077294686, 4: 0.2286634460547504}",101058.64299999995,63.43919836785936,55587.45999999996,63.0958683314415,881,259.0579084695645,225.6849089887833,42157.87550459321,23189.003421474343,1.024733467713466,0.0,369,153.93296010510358
1131220,1131105,三鷹,,,11312,13,181-0013,東京都三鷹市下連雀三丁目46-1,139.560325,35.702683,0000-00-00,0000-00-00,0,1131220,mitaka,634,1645,5.189274447949527,602,3.194006309148265,"{0: 0, 1: 32, 2: 4, 3: 411, 4: 184, 5: 2, 6: 1}","{0: 0.0, 1: 0.050473186119873815, 2: 0.006309148264984227, 3: 0.6482649842271293, 4: 0.2902208201892745, 5: 0.0031545741324921135, 6: 0.0015772870662460567}",104186.48100000009,63.33524680851068,61792.94599999996,64.50203131524005,958,256.49298396123083,243.54696584331376,42150.002208375554,24999.143702358346,1.0139723396935238,0.0,420,169.91648779766078
1131221,1131221,武蔵境,,,11312,13,180-0022,武蔵野市境１丁目,139.543402,35.702083,0000-00-00,0000-00-00,0,1131221,musashisakai,703,1847,5.2546230440967285,618,2.9246088193456616,"{0: 0, 1: 85, 2: 4, 3: 493, 4: 121}","{0: 0.0, 1: 0.12091038406827881, 2: 0.005689900426742532, 3: 0.701280227596017, 4: 0.1721194879089616}",109360.23400000032,59.20965565782367,59343.237999999874,59.82181249999989,992,294.8589313941335,259.2074247533065,45868.907161098825,24890.304042884352,1.032814503333977,0.0010828370330265,383,160.64149462866732
1131222,1131222,東小金井,,,11312,13,184-0002,小金井市梶野町５丁目,139.52483700000002,35.701643,0000-00-00,0000-00-00,0,1131222,higashikoganei,657,1738,5.290715372907154,559,2.8158295281582952,"{0: 0, 1: 98, 2: 4, 3: 476, 4: 79}","{0: 0.0, 1: 0.1491628614916286, 2: 0.0060882800608828, 3: 0.7245053272450532, 4: 0.1202435312024353}",104722.24800000008,60.25445799769855,53116.38800000004,60.15445979614954,883,267.4186631218116,227.5297301142963,42625.08913131024,21619.95961768561,1.060775471033009,0.002301495972382,383,155.89246267222808
1131223,1131223,武蔵小金井,,,11312,13,184-0004,小金井市本町６丁目,139.506483,35.701337,0000-00-00,0000-00-00,0,1131223,musashikoganei,893,2303,5.157894736842105,718,2.703247480403136,"{0: 0, 1: 175, 2: 2, 3: 629, 4: 87}","{0: 0.0, 1: 0.1959686450167973, 2: 0.0022396416573348264, 3: 0.7043673012318029, 4: 0.09742441209406495}",120261.28399999993,52.21940251845415,61094.15000000008,52.21722222222229,1170,360.1829539598937,289.5983885142258,48506.231263303096,24641.73730869974,1.0562671921329352,0.0,438,176.66308380115726
1131224,1131106,国分寺,,,11312,13,185-0012,東京都国分寺市本町二丁目1-23,139.480841,35.700123,0000-00-00,0000-00-00,0,1131224,kokubunji,572,1606,5.615384615384616,518,2.9475524475524475,"{0: 0, 1: 54, 2: 0, 3: 442, 4: 74, 5: 2}","{0: 0.0, 1: 0.0944055944055944, 2: 0.0, 3: 0.7727272727272727, 4: 0.12937062937062938, 5: 0.0034965034965034965}",99652.59299999998,62.050182440846825,50121.667,61.95508899876391,809,238.48908493270665,215.9743811103881,41549.04845409344,20897.675696034687,1.0618495788374809,0.0,339,141.3423073289992
1131225,1130503,西国分寺,,,11312,13,185-0013,国分寺市西恋ケ窪２丁目,139.465994,35.699744,0000-00-00,0000-00-00,0,1131225,nishikokubunji,604,1587,5.2549668874172175,514,2.8344370860927146,"{0: 0, 1: 90, 2: 2, 3: 433, 4: 76, 5: 3}","{0: 0.0, 1: 0.1490066225165563, 2: 0.0033112582781456954, 3: 0.7168874172185431, 4: 0.12582781456953643, 5: 0.004966887417218543}",97507.69300000028,61.44152047889119,50940.23999999998,62.35035495716032,817,243.9380771736351,207.58968819080863,39380.52837757813,20573.28509331704,1.0742166022887558,0.0,329,132.87355528166546
1131226,1131226,国立,,,11312,13,186-0001,国立市北１丁目,139.44634,35.69923,0000-00-00,0000-00-00,0,1131226,kokuritsu,482,1222,5.070539419087137,414,2.995850622406639,"{0: 0, 1: 68, 2: 1, 3: 285, 4: 123, 5: 3, 6: 2}","{0: 0.0, 1: 0.14107883817427386, 2: 0.002074688796680498, 3: 0.5912863070539419, 4: 0.2551867219917012, 5: 0.006224066390041493, 6: 0.004149377593360996}",85553.46899999997,70.01102209492633,48464.96800000004,70.9589575402636,683,196.98877681057849,169.19782904477074,34964.882178862536,19807.167561169783,1.0391352268150518,0.0,271,110.75510065491034
1131227,1130325,立川,,,11312,13,190-0012,東京都立川市曙町二丁目1-1,139.413704,35.698202,0000-00-00,0000-00-00,0,1131227,tachikawa,550,1427,5.189090909090909,507,3.112727272727273,"{0: 0, 1: 43, 2: 1, 3: 365, 4: 134, 5: 6, 6: 1}","{0: 0.0, 1: 0.07818181818181819, 2: 0.0018181818181818182, 3: 0.6636363636363637, 4: 0.24363636363636362, 5: 0.01090909090909091, 6: 0.0018181818181818182}",92078.21400000004,64.52572810091104,54018.1350000001,66.19869485294129,816,225.63132351081845,207.99105639997265,37774.05325696797,22160.333261156524,1.0253939502448282,0.0,349,143.17333073686478
1131228,1131108,日野,,,11312,13,191-0061,日野市大坂上１丁目,139.39393,35.679244,0000-00-00,0000-00-00,0,1131228,hino,627,1729,5.5151515151515165,544,2.9154704944178627,"{0: 0, 1: 83, 2: 0, 3: 431, 4: 113}","{0: 0.0, 1: 0.13237639553429026, 2: 0.0, 3: 0.6874003189792663, 4: 0.18022328548644337}",104431.2580000002,60.39980219780232,53790.96700000002,60.50727446569182,889,282.00812086210584,244.6769023109817,46970.43513213047,24193.763194618103,1.0545486372037394,0.0023134759976865,395,177.6606184059518
