,station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
1525,1131230,1130620,八王子,,,11312,13,192-0083,東京都八王子市旭町1-1,139.338998,35.655555,0000-00-00,0000-00-00,0,1131230,hachiouji,770,2222,5.771428571428571,729,3.1662337662337663,"{0: 0, 1: 41, 2: 3, 3: 526, 4: 188, 5: 11, 6: 1}","{0: 0.0, 1: 0.053246753246753244, 2: 0.003896103896103896, 3: 0.6831168831168831, 4: 0.24415584415584415, 5: 0.014285714285714285, 6: 0.0012987012987012987}",123086.35499999994,55.394399189918964,64965.710999999945,55.47883091374889,1171,312.08541538810164,295.46788028302086,49887.60549192509,26330.975199244604,1.0224534622864656,0.0,494,200.22103272950935
1526,1131231,1131111,西八王子,,,11312,13,193-0835,八王子市千人町２丁目,139.31264,35.656621,0000-00-00,0000-00-00,0,1131231,nishihachiouji,606,1778,5.867986798679868,562,3.1633663366336635,"{0: 0, 1: 44, 2: 1, 3: 374, 4: 186, 5: 1}","{0: 0.0, 1: 0.07260726072607261, 2: 0.0016501650165016502, 3: 0.6171617161716172, 4: 0.3069306930693069, 5: 0.0016501650165016502}",120809.27000000009,67.94672103487069,61406.812,67.55424862486248,909,243.59093875798177,225.90446795707223,48561.12787123186,24683.40425943053,1.0318494233574815,0.0011248593925759281,424,170.4332640814922
1527,1131232,1131112,高尾,,,11312,13,193-0844,八王子市高尾町,139.282288,35.642026,0000-00-00,0000-00-00,0,1131232,takao,275,674,4.901818181818181,212,2.6436363636363636,"{0: 0, 1: 63, 2: 3, 3: 179, 4: 29, 5: 1}","{0: 0.0, 1: 0.2290909090909091, 2: 0.01090909090909091, 3: 0.6509090909090909, 4: 0.10545454545454545, 5: 0.0036363636363636364}",53515.58300000007,79.39997477744818,27530.456000000006,80.26372011661809,343,133.8760374048031,103.20625429024821,26052.560696174016,13402.430389917407,1.071903643394976,0.005934718100890208,165,80.32562244288187
5477,2400101,1130208,新宿,,,24001,13,160-0023,東京都新宿区西新宿一丁目1-4,139.69918700000002,35.690163,0000-00-00,0000-00-00,0,2400101,shinjuku,695,1558,4.483453237410072,664,3.1856115107913667,"{0: 0, 1: 31, 2: 2, 3: 483, 4: 168, 5: 8, 6: 3}","{0: 0.0, 1: 0.04460431654676259, 2: 0.0028776978417266188, 3: 0.6949640287769784, 4: 0.24172661870503598, 5: 0.011510791366906475, 6: 0.004316546762589928}",89603.4239999999,57.51182541720147,63076.50500000005,59.731538825757625,1056,282.42595674180393,269.8285399662702,36411.98956912444,25632.29103964632,1.0222436376510355,0.0,386,156.85815726954866
5478,2400104,2400104,笹塚,,,24001,13,151-0073,渋谷区笹塚１-５６-７,139.667251,35.673758,0000-00-00,0000-00-00,0,2400104,sasazuka,1331,3422,5.141998497370398,1149,2.84297520661157,"{0: 0, 1: 182, 2: 12, 3: 971, 4: 165, 5: 1}","{0: 0.0, 1: 0.13673929376408714, 2: 0.009015777610818933, 3: 0.7295266716754321, 4: 0.12396694214876033, 5: 0.0007513148009015778}",151669.47399999967,44.32188018702504,81644.52099999976,44.492926975476706,1835,535.9615254200806,462.674524949416,61073.63083749142,32876.274994253705,1.0301639595244882,0.0005844535359438924,569,229.1225454275176
5479,2400105,2400105,代田橋,,,24001,13,156-0041,世田谷区大原２-１８-９,139.659413,35.671092,0000-00-00,0000-00-00,0,2400105,daitahashi,1490,3751,5.03489932885906,1257,2.793288590604027,"{0: 0, 1: 233, 2: 10, 3: 1081, 4: 164, 5: 2}","{0: 0.0, 1: 0.1563758389261745, 2: 0.006711409395973154, 3: 0.725503355704698, 4: 0.11006711409395974, 5: 0.0013422818791946308}",158119.2180000003,42.1538837643296,86009.01599999993,42.452623889437284,2026,597.5978775369224,504.1480080965848,63417.254412481954,34495.84255747594,1.0257526541908657,0.0,609,244.25309222817833
5480,2400106,2400106,明大前,,,24001,13,156-0043,世田谷区松原２-４５-１,139.650352,35.668758000000004,0000-00-00,0000-00-00,0,2400106,meidaimae,1169,2931,5.014542343883662,981,2.797262617621899,"{0: 0, 1: 188, 2: 2, 3: 839, 4: 139, 5: 1}","{0: 0.0, 1: 0.16082121471343028, 2: 0.001710863986313088, 3: 0.7177074422583405, 4: 0.11890504704875962, 5: 0.000855431993156544}",139596.44700000001,47.62758341862846,76818.66300000002,48.86683396946566,1572,463.69760601192195,389.1251937533751,55372.573380385074,30471.026629714812,1.031035890779822,0.000682360968952576,570,226.09720737963687
5481,2400107,2400107,下高井戸,,,24001,13,156-0043,世田谷区松原３-２９-１７,139.641372,35.66615,0000-00-00,0000-00-00,0,2400107,shimotakaiko,995,2451,4.926633165829146,824,2.8,"{0: 0, 1: 171, 2: 1, 3: 679, 4: 144}","{0: 0.0, 1: 0.17185929648241205, 2: 0.0010050251256281408, 3: 0.6824120603015076, 4: 0.14472361809045226}",124085.54800000046,50.62649857201161,68670.65800000002,51.13228443782578,1343,400.1469425263499,331.3779704941832,49901.96245618775,27616.436020073004,1.0293062843458107,0.0008159934720522236,500,201.0788655911306
5482,2400108,2400108,桜上水,,,24001,13,156-0045,世田谷区桜上水５-２９-５２,139.63128999999998,35.66768,0000-00-00,0000-00-00,0,2400108,sakurajousui,1050,2510,4.780952380952381,847,2.7295238095238097,"{0: 0, 1: 203, 2: 2, 3: 725, 4: 116, 5: 4}","{0: 0.0, 1: 0.19333333333333333, 2: 0.0019047619047619048, 3: 0.6904761904761905, 4: 0.11047619047619048, 5: 0.0038095238095238095}",124053.52400000028,49.423714741035965,67819.44900000001,49.00249205202313,1384,422.5302086341978,340.8410349649196,49920.34416907389,27291.20565278699,1.0364232713209254,0.0015936254980079682,495,199.1928126418361
5483,2400109,2400109,上北沢,,,24001,13,156-0057,世田谷区上北沢４-１４-３,139.62329,35.668857,0000-00-00,0000-00-00,0,2400109,kamikitasawa,1031,2467,4.785645004849661,846,2.7390882638215324,"{0: 0, 1: 185, 2: 5, 3: 737, 4: 102, 5: 2}","{0: 0.0, 1: 0.17943743937924345, 2: 0.004849660523763337, 3: 0.7148399612027158, 4: 0.09893307468477207, 5: 0.0019398642095053346}",124289.82700000041,50.38095946493734,69730.11800000009,50.89789635036503,1370,420.92017670224527,345.3913380117357,50743.06105056418,28468.296401579486,1.0459071754841107,0.0008107012565869477,456,186.16838077228306
5484,2400110,2400110,八幡山,,,24001,13,168-0074,杉並区上高井戸１-１-１１,139.614927,35.669982,0000-00-00,0000-00-00,0,2400110,yahatayama,874,2039,4.665903890160183,729,2.754004576659039,"{0: 0, 1: 145, 2: 3, 3: 648, 4: 78}","{0: 0.0, 1: 0.16590389016018306, 2: 0.003432494279176201, 3: 0.7414187643020596, 4: 0.08924485125858124}",109962.22600000014,53.9294879843061,63415.193999999945,55.04791145833329,1152,349.86697859504943,291.82268580754123,44018.48028627693,25385.44888077676,1.0628203297298882,0.000980872976949485,381,152.51638311752154
5485,2400111,2400111,芦花公園,,,24001,13,157-0062,世田谷区南烏山３-１-１６,139.608247,35.670479,0000-00-00,0000-00-00,0,2400111,ashihanakouen,915,2222,4.856830601092896,767,2.780327868852459,"{0: 0, 1: 148, 2: 3, 3: 666, 4: 98}","{0: 0.0, 1: 0.16174863387978142, 2: 0.003278688524590164, 3: 0.7278688524590164, 4: 0.10710382513661203}",120284.21400000008,54.13330963096313,66916.82999999996,54.89485643970464,1219,365.83902146788495,306.66505952553854,48092.52365879093,26754.959133259883,1.0499349378144742,0.0,430,171.92434888654702
5486,2400112,2400112,千歳烏山,,,24001,13,157-0062,世田谷区南烏山６-１-１,139.60067,35.667921,0000-00-00,0000-00-00,0,2400112,chitosekarasuyama,757,1960,5.178335535006605,658,2.85336856010568,"{0: 0, 1: 99, 2: 3, 3: 565, 4: 90}","{0: 0.0, 1: 0.130779392338177, 2: 0.003963011889035667, 3: 0.7463672391017173, 4: 0.11889035667107001}",115027.99000000003,58.687750000000015,60993.083,58.70364100096246,1039,312.2376896687862,271.403434348826,47445.27588486691,25157.647716904252,1.046841820969771,0.0,432,178.18584139618974
5487,2400113,2400113,仙川,,,24001,13,182-0002,調布市仙川町１-４３,139.584908,35.662257000000004,0000-00-00,0000-00-00,0,2400113,senkawa,621,1611,5.188405797101449,530,2.824476650563607,"{0: 0, 1: 91, 2: 1, 3: 456, 4: 72, 5: 1}","{0: 0.0, 1: 0.14653784219001612, 2: 0.001610305958132045, 3: 0.7342995169082126, 4: 0.11594202898550725, 5: 0.001610305958132045}",96225.97200000013,59.73058472998146,50651.535000000076,60.15621733966755,842,275.07039850721526,234.7621758596201,42623.05388854134,22435.97088156551,1.0579154557989203,0.0,333,147.50151804010093
5488,2400114,2400114,つつじヶ丘,,,24001,13,182-0006,東京都調布市西つつじヶ丘三丁目35-1,139.575103,35.657936,0000-00-00,0000-00-00,0,2400114,tsutsujikeoka,829,2165,5.223160434258142,700,2.781664656212304,"{0: 0, 1: 129, 2: 1, 3: 623, 4: 74, 5: 2}","{0: 0.0, 1: 0.15560916767189384, 2: 0.0012062726176115801, 3: 0.7515078407720145, 4: 0.08926417370325694, 5: 0.0024125452352231603}",122519.1470000001,56.59083002309473,63322.74500000006,57.047518018018074,1110,332.05347830264884,280.3829129214164,49074.67903501035,25363.736710400102,1.0567757814800753,0.0009237875288683603,421,168.630294771309
5489,2400115,2400115,柴崎,,,24001,13,182-0007,調布市菊野台２-６７-１１,139.56658000000002,35.653997,0000-00-00,0000-00-00,0,2400115,shibasaki,822,2161,5.257907542579075,684,2.761557177615572,"{0: 0, 1: 138, 2: 0, 3: 606, 4: 76, 5: 2}","{0: 0.0, 1: 0.1678832116788321, 2: 0.0, 3: 0.7372262773722628, 4: 0.09245742092457421, 5: 0.0024330900243309003}",115510.33299999974,53.45225960203597,58628.59700000003,53.39580783242261,1098,328.2969701435726,273.18142041143994,46133.44567417888,23415.560533903357,1.0480417734150993,0.0,399,159.35582857333998
5490,2400116,2400116,国領,,,24001,13,182-0022,調布市国領町３-１８-１,139.55803600000002,35.650087,0000-00-00,0000-00-00,0,2400116,kuniryou,793,2062,5.200504413619168,665,2.7881462799495584,"{0: 0, 1: 128, 2: 0, 3: 579, 4: 84, 5: 2}","{0: 0.0, 1: 0.1614123581336696, 2: 0.0, 3: 0.7301387137452712, 4: 0.10592686002522068, 5: 0.0025220680958385876}",116168.84999999982,56.33794859359836,59447.61700000008,56.18867391304355,1058,317.1576921620759,265.9645211699627,46461.34220318072,23775.875173083245,1.0475376701366126,0.0,421,168.3775389662471
5491,2400117,2400117,布田,,,24001,13,182-0022,調布市国領町５-６７-１,139.551557,35.649904,0000-00-00,0000-00-00,0,2400117,fuda,783,2095,5.351213282247765,675,2.8544061302681993,"{0: 0, 1: 108, 2: 4, 3: 566, 4: 104, 5: 1}","{0: 0.0, 1: 0.13793103448275862, 2: 0.005108556832694764, 3: 0.722860791826309, 4: 0.13282247765006386, 5: 0.001277139208173691}",120278.19399999989,57.41202577565627,61455.127000000044,57.167560000000044,1075,321.32027264347494,277.0002350374784,49358.64890056798,25219.384627049032,1.048684910061286,0.0,422,173.17644323824575
5492,2400118,2400118,調布,,,24001,13,182-0024,調布市布田４-３２-１,139.54398799999998,35.652181,0000-00-00,0000-00-00,0,2400118,choufu,687,1827,5.318777292576419,598,2.8573508005822417,"{0: 0, 1: 89, 2: 5, 3: 509, 4: 83, 5: 1}","{0: 0.0, 1: 0.12954876273653565, 2: 0.00727802037845706, 3: 0.7409024745269287, 4: 0.12081513828238719, 5: 0.001455604075691412}",107819.38799999998,59.014443349753684,55844.602999999996,59.34601806588735,941,276.19311329347477,240.41263718995327,43346.393661014714,22451.084080361165,1.0465717041599343,0.0,378,151.9665164846193
